x,y
79.3,84.23
67.26,20.13
53.66,2.25
71.51,98.18
83.03,70.45
54.44,23.58
76.75,76.83
67.48,76.53
57.94,21.48
15.6,29.98
58.58,26.15
14.43,19.25
84.35,79.33
48.22,25.32
38.15,2.88
41.43,16.18
3.19,24.21
44.65,12.28
44.62,19.29
13.44,19.95
66.69,88.69
12.48,27.97
74.27,74.33
77.32,74.51
38.58,28.21
20.69,19.54
11.33,13.64
59.88,2.64
48.1,11.36
48.93,10.59
71.89,74.71
27.33,22.44
74.62,82.2
69.66,62.85
91.95,77.5
20.27,20.09
49.16,13.44
76.11,83.11
52.26,14.0
22.24,1.0
24.59,34.33
17.06,19.17
34.38,13.14
50.98,22.57
10.64,31.15
22.43,32.39
51.31,6.48
67.0,89.31
74.5,63.39
52.84,20.03
64.58,84.08
62.48,45.39
27.89,30.96
76.56,71.34
8.06,17.73
22.2,22.23
86.19,77.3
19.14,25.06
33.55,28.73
54.13,19.51
9.78,19.04
19.27,33.55
79.0,78.6
25.42,22.37
68.02,89.84
50.93,18.45
74.97,77.42
52.18,16.64
28.76,31.71
68.77,66.19
24.44,23.38
74.13,80.59
59.47,83.89
64.15,21.74
22.88,22.8
27.8,19.67
61.45,72.4
22.03,27.43
69.89,84.02
17.28,33.39
58.02,22.07
16.32,26.29
11.31,16.83
14.33,34.26
19.99,31.09
67.12,80.63
55.03,13.33
45.98,19.63
49.59,32.56
32.43,22.18
83.0,71.5
68.45,78.02
79.0,64.1
29.45,18.5
42.48,11.62
52.35,78.66
44.34,17.95
21.66,29.78
34.36,30.88
54.82,15.66
52.86,4.7
79.68,84.43
55.07,17.23
3.18,13.82
78.79,88.34
75.6,74.78
72.96,81.57
53.07,18.12
10.61,6.96
46.45,8.82
68.2,71.86
44.81,27.32
35.55,5.53
36.87,10.51
3.3,17.25
87.5,83.51
22.25,21.92
48.07,19.33
59.44,75.99
28.48,26.24
60.56,11.02
79.53,91.47
41.04,17.68
29.9,26.51
14.64,17.22
77.26,74.8
90.21,81.08
66.67,84.62
50.92,23.78
52.11,17.68
67.76,86.47
37.35,23.55
26.05,8.13
60.76,1.24
80.11,76.16
29.08,22.91
10.95,32.11
22.9,27.07
30.91,22.55
23.42,32.65
37.96,28.7
21.8,6.39
42.85,18.59
16.3,18.24
55.1,15.94
45.7,19.45
48.32,30.21
22.31,17.72
57.03,22.63
15.86,21.52
87.08,83.49
32.51,32.68
66.87,17.3
72.6,84.59
48.09,14.63
81.32,88.24
18.61,29.54
72.46,15.23
11.41,36.08
44.42,17.8
71.62,73.47
59.56,16.68
69.84,60.28
93.0,75.37
38.42,19.14
49.18,22.07
29.14,27.39
39.98,5.0
17.07,28.74
21.1,24.26
79.56,82.3
75.66,87.58
14.37,32.11
36.36,14.11
74.81,74.84
79.26,81.74
9.25,22.06
26.69,28.17
53.21,16.22
51.52,27.95
67.12,80.48
61.07,28.49
76.73,67.38
81.38,96.41
56.99,26.89
19.22,31.85
68.97,77.33
65.59,94.37
47.92,27.53
40.97,18.17
76.5,6.53
39.01,12.94
69.82,74.33
33.89,16.33
16.34,38.54
61.86,79.84
17.02,21.78
14.28,17.0
80.55,72.32
18.88,38.19
14.43,23.12
91.0,84.11
47.19,14.18
76.68,74.04
45.66,27.76
54.79,74.11
19.43,26.54
42.56,12.73
68.03,84.15
58.21,6.95
21.41,27.89
31.53,28.69
37.93,25.28
45.18,14.89
71.74,74.88
27.39,8.27
67.64,74.09
13.8,52.92
50.91,6.21
50.45,13.17
10.98,26.78
46.31,16.46
49.0,8.02
27.14,29.38
55.52,5.82
26.2,40.27
77.78,88.14
74.77,79.49
45.53,16.86
88.37,70.56
73.27,83.3
56.12,12.89
78.56,90.42
82.63,76.57
20.76,49.27
27.04,29.52
7.86,33.83
43.76,14.55
20.71,25.15
69.85,80.39
17.8,35.72
9.76,30.49
79.33,82.29
55.46,16.84
21.74,33.1
22.69,25.81
60.72,77.73
16.21,19.81
33.73,29.41
20.59,23.65
23.39,32.45
40.45,10.31
47.31,28.29
43.13,33.19
83.85,85.63
7.48,29.16
82.82,84.77
36.1,1.0
43.92,19.06
20.97,32.15
49.03,18.0
87.55,79.43
22.74,22.72
21.23,25.43
64.42,79.28
57.97,18.45
41.63,11.75
72.57,76.06
81.72,77.11
76.66,72.54
68.37,90.67
23.68,28.8
51.22,11.9
21.43,20.56
80.68,79.0
10.58,34.79
22.13,23.87
61.83,79.74
8.53,32.87
46.77,19.75
62.78,91.27
47.36,23.64
26.96,18.58
9.69,33.78
20.62,35.29
54.94,10.61
70.4,71.52
72.21,93.88
26.99,24.87
46.1,4.25
49.58,6.96
71.99,20.96
69.51,72.44
74.78,68.1
78.18,90.55
82.79,76.59
45.67,18.66
79.26,86.7
21.61,13.23
25.54,31.03
71.67,91.11
69.68,72.76
66.16,62.16
79.74,87.09
49.22,8.03
48.77,10.51
70.97,71.74
71.55,92.28
58.99,14.61
71.38,92.52
59.88,79.81
78.9,82.46
64.75,81.71
37.84,13.57
69.07,86.66
78.76,75.96
25.91,10.54
67.89,78.17
41.24,23.01
11.15,23.11
30.11,29.82
15.8,18.23
14.64,32.21
71.99,81.67
47.08,4.8
82.95,82.26
50.67,80.35
82.69,73.93
50.59,22.5
3.71,27.71
52.95,11.46
23.02,35.31
42.64,14.65
74.51,78.79
14.55,24.32
27.51,35.79
54.11,12.08
63.64,92.39
36.1,23.55
70.71,92.41
75.47,78.8
79.24,81.33
28.01,10.38
9.69,22.25
62.92,82.18
69.5,81.64
85.15,75.16
60.2,5.49
19.69,37.21
45.2,11.86
26.03,36.33
18.21,29.43
39.72,21.9
2.82,32.79
19.35,35.46
29.16,11.5
26.71,21.88
78.22,84.97
18.79,24.45
20.95,42.42
67.64,81.5
67.37,80.93
23.01,35.71
58.32,79.38
15.18,32.41
15.95,7.7
45.87,18.83
22.85,32.77
69.58,68.34
47.35,23.18
32.69,20.54
48.63,14.95
31.07,21.35
20.4,36.94
15.89,28.61
59.39,14.03
79.6,85.3
11.18,41.4
50.9,14.69
48.31,21.27
28.64,15.59
6.61,17.34
37.77,14.37
28.75,28.53
9.74,15.87
49.96,9.87
75.21,76.61
23.9,34.31
52.13,14.66
40.59,11.33
21.06,22.16
28.03,24.15
49.41,8.76
23.54,32.84
69.89,74.95
27.37,34.06
69.13,71.09
89.71,74.2
54.68,19.54
55.78,29.0
20.73,34.56
73.67,82.01
74.03,92.03
76.96,79.64
65.51,88.46
43.83,20.59
51.85,34.36
70.4,73.38
25.69,26.04
76.86,84.17
88.45,87.01
43.56,6.17
46.45,14.97
21.1,22.62
56.97,23.37
52.55,14.6
43.34,1.0
53.71,26.37
72.88,72.72
73.59,63.87
19.06,21.54
41.98,15.43
79.53,83.33
79.39,84.93
67.12,83.2
80.5,85.57
21.8,24.15
12.3,23.78
69.59,62.7
22.39,29.62
24.62,28.06
77.91,87.36
76.61,81.32
84.91,70.99
27.68,33.02
16.46,24.75
23.42,31.6
80.25,59.87
51.87,17.45
67.17,79.04
14.03,32.64
67.59,79.1
49.36,15.33
86.85,81.44
74.16,81.88
90.9,80.32
71.77,69.9
12.67,37.27
66.01,83.39
47.72,11.81
64.06,80.68
52.57,19.22
82.29,85.22
8.56,20.66
20.12,37.87
76.67,83.09
55.76,6.62
51.23,15.14
74.46,81.91
75.6,89.77
17.92,25.77
22.18,26.27
88.21,83.72
53.74,5.39
80.91,90.47
21.95,35.26
18.22,29.28
88.05,71.62
76.41,68.62
90.09,82.92
88.53,75.9
10.16,5.51
45.76,30.76
9.94,15.55
60.17,77.94
46.67,24.55
44.18,7.72
48.58,20.92
75.21,65.64
64.71,96.14
74.13,82.85
25.1,27.2
5.12,37.58
77.66,80.93
69.6,68.49
27.74,24.17
22.25,30.35
14.57,32.65
4.78,22.81
72.57,81.12
41.86,21.91
99.0,97.25
32.4,14.42
19.58,23.78
79.84,61.61
10.36,18.17
72.47,84.41
77.19,87.98
43.42,16.74
47.78,13.03
39.28,33.56
11.59,21.43
77.89,80.7
63.69,22.3
55.51,20.59
45.43,1.54
56.01,8.79
63.02,76.02
42.95,25.21
34.35,15.39
22.02,14.64
58.0,83.39
80.61,91.34
31.06,39.01
14.88,33.24
46.33,1.0
18.66,23.74
31.7,20.55
51.8,1.0
13.14,25.64
74.5,87.06
50.75,19.08
50.44,1.0
62.57,81.12
78.27,67.95
73.29,69.86
41.74,17.73
20.67,30.29
74.25,82.5
9.69,29.28
72.37,79.15
21.88,14.41
68.63,64.05
19.73,23.45
48.09,1.64
63.81,83.27
11.93,1.0
8.75,30.27
31.18,17.34
78.02,88.22
33.33,39.94
16.21,15.07
13.74,18.77
67.26,73.76
21.02,25.89
41.91,26.49
84.93,73.34
55.89,12.47
66.15,92.61
14.71,34.6
4.92,32.45
76.4,89.82
45.15,13.88
13.16,16.86
63.11,33.59
43.63,21.53
69.73,65.91
21.49,34.61
20.24,29.1
76.69,82.14
29.2,36.72
62.78,20.9
56.43,14.69
45.71,22.75
10.64,20.69
70.67,69.35
52.02,9.46
